date,PM10,PM2.5,O3,NO2,CO,SO2
2022-06-15 10:00,8,4,0.017,0.013,0.2,0.002
2022-06-15 11:00,9,5,0.014,0.014,0.2,0.002
2022-06-15 12:00,10,9,0.012,0.016,0.2,0.002
2022-06-15 13:00,8,,0.012,0.017,0.3,0.002
2022-06-15 14:00,15,7,0.013,0.018,0.3,0.002
2022-06-15 15:00,24,8,0.016,0.017,0.3,0.002
2022-06-15 16:00,20,14,0.018,0.021,0.3,0.002
2022-06-15 17:00,26,18,0.023,0.02,0.3,0.002
2022-06-15 18:00,17,,0.04,0.011,0.3,0.003
2022-06-15 19:00,27,17,0.041,0.012,0.3,0.003
2022-06-15 20:00,28,20,0.043,0.011,0.4,0.003
2022-06-15 21:00,31,23,0.042,0.009,0.4,0.003
2022-06-15 22:00,29,21,0.037,0.012,0.4,0.003
2022-06-15 23:00,23,20,0.03,0.019,0.4,0.003
2022-06-16 0:00,18,15,0.039,0.011,0.4,0.002
2022-06-16 1:00,18,15,0.042,0.007,0.3,0.002
2022-06-16 2:00,16,,0.041,0.004,0.3,0.002
2022-06-16 3:00,21,15,0.034,0.006,0.3,0.002
2022-06-16 4:00,11,,0.026,0.004,0.2,0.002
2022-06-16 5:00,10,,0.024,0.005,0.2,0.002
2022-06-16 6:00,15,10,0.018,0.01,0.2,0.002
2022-06-16 7:00,17,10,0.014,0.017,0.2,0.002
2022-06-16 8:00,22,10,0.016,0.015,0.3,0.002
2022-06-16 9:00,24,14,0.016,0.015,0.3,0.002
2022-06-16 10:00,21,11,0.016,0.016,0.3,0.002
2022-06-16 11:00,29,13,0.024,0.012,0.3,0.002
2022-06-16 12:00,16,16,0.029,0.01,0.3,0.003
2022-06-16 13:00,17,9,0.037,0.009,0.2,0.003
2022-06-16 14:00,17,6,0.033,0.004,0.2,0.002
2022-06-16 15:00,14,3,0.033,0.003,0.2,0.002
2022-06-16 16:00,11,3,0.032,0.004,0.2,0.003
2022-06-16 17:00,8,6,0.031,0.003,0.2,0.002
2022-06-16 18:00,13,6,0.03,0.003,0.2,0.002
2022-06-16 19:00,11,7,0.028,0.004,0.2,0.002
2022-06-16 20:00,13,6,0.024,0.009,0.2,0.002
2022-06-16 21:00,14,7,0.022,0.011,0.2,0.002
2022-06-16 22:00,14,8,0.021,0.013,0.2,0.002
2022-06-16 23:00,13,8,0.027,0.008,0.2,0.002
